year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,pue
2022,Amazon Web Services,ap-southeast-1,Singapore,SG,SGP,Asia Pacific (Singapore),"1.3,103.8",1.200
2022,Amazon Web Services,ap-southeast-2,New South Wales,AUS-NSW,NEM_NSW,Asia Pacific (Sydney),"-33.8678,151.21",1.200
2022,Amazon Web Services,ap-northeast-1,Tokyo,JP-TK,JP_TK,Asia Pacific (Tokyo),"35.6897,139.692",1.200
2022,Amazon Web Services,ca-central-1,Quebec,CA-QC,HQ,Canada (Central),"45.5089,-73.5617",1.200
2022,Amazon Web Services,eu-central-1,Germany,DE,DE,Europe (Frankfurt),"50.1106,8.6822",1.200
2022,Amazon Web Services,eu-west-1,Ireland,IE,IE,Europe (Ireland),"53.35,-6.2603 ",1.200
2022,Amazon Web Services,eu-west-2,Great Britain,GB,UK,Europe (London),"51.726,-0.3",1.200
2022,Amazon Web Services,eu-south-1,North Italy,IT,IT,Europe (Milan),"45.4669,9.19",1.200
2022,Amazon Web Services,eu-west-3,France,FR,FR,Europe (Paris),"48.8567,2.3522",1.200
2022,Amazon Web Services,eu-south-2,Spain,ES,ES,Europe (Spain),"40.3333,-3.8667",1.200
2022,Amazon Web Services,eu-north-1,Sweden,SE,SE,Europe (Stockholm),"59.3294,18.0686 ",1.200
2022,Amazon Web Services,eu-central-2,Switzerland,CH,CH,Europe (Zurich),"47.3744,8.5411",1.200
2022,Amazon Web Services,il-central-1,Israel,IL,IL,Israel (Tel Aviv),"32.0167,34.7667",1.200
2022,Amazon Web Services,me-south-1,Bahrain,BH,BH,Middle East (Bahrain),"26.219,50.538 ",1.200
2022,Amazon Web Services,me-central-1,UAE,AE,AE,Middle East (UAE),"25.2631,55.2972 ",1.200
2022,Amazon Web Services,sa-east-1,Central Brazil,BR-CS,BRA,South America (S�o Paulo),"-3.45,-68.95",1.200
2022,Amazon Web Services,us-gov-east-1,PJM,US-MIDA-PJM,PJM_DC,GovCloud (US East),"39.1057,-77.5544 ",1.200
2022,Amazon Web Services,us-gov-west-1,BPA,US-NW-BPAT,BPA,GovCloud (US West),"45.5371,-122.65 ",1.200
